Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,33103975,+59907,590043 ,+784,25710142,6803790,9612,99526,1774,446627197,1342768,332616743 ,North America
India,19157094,+402110,211835 ,+3522,15673003,3272256,8944,13769,152,286392086,205849,1391271798 ,Asia
Brazil,14665962,+73076,404287 ,+2870,13194538,1067137,8318,68592,1891,43818216,204935,213815388 ,South America
France,5616689,+24299,104514 ,+276,4540185,971990,5675,85890,1598,75976229,1161827,65393762 ,Europe
Turkey,4820591,+31891,40131 ,+394,4323897,456563,3534,56651,472,47261999,555419,85092490 ,Asia
Russia,4805288,+8731,110128 ,+397,4427946,267214,2300,32916,754,129100000,884328,145986588 ,Europe
UK,4416623,+2381,127517 ,+15,4214791,74315,196,64776,1870,156302824,2292415,68182618 ,Europe
Italy,4022652,+13445,120807 ,+263,3465676,436169,2583,66614,2001,58579752,970061,60387724 ,Europe
Spain,3524077,+9135,78216 ,+136,3206273,239588,2308,75349,1672,46199597,987807,46769864 ,Europe
Germany,3392232,+12845,83542 ,+204,2995200,313490,5049,40380,994,55490413,660546,84006917 ,Europe
Argentina,2977363,+22420,63865 ,+357,2634306,279192,5369,65379,1402,11148350,244802,45540268 ,South America
Colombia,2859724,+17790,73720 ,+490,2669308,116696,6006,55709,1436,14802786,288367,51333154 ,South America
Poland,2792148,+6802,67501 ,+428,2496810,227837,2831,73843,1785,14321250,378748,37812066 ,Europe
Iran,2499077,+19272,71758 ,+407,1954321,472998,5398,29441,845,15830271,186491,84884809 ,Asia
Mexico,2340934,+3990,216447 ,+529,1861861,262626,4798,17999,1664,6612450,50843,130057448 ,North America
Ukraine,2069537,+10072,44085 ,+307,1655525,369927,177,47560,1013,9418779,216452,43514481 ,Europe
Peru,1799445,+7447,61477 ,+376,1688091,49877,2652,53952,1843,11169530,334891,33352726 ,South America
Indonesia,1668368,+5500,45521 ,+187,1522634,100213,,6046,165,14640442,53060,275924964 ,Asia
Czechia,1630776,+2229,29301 ,+38,1555008,46467,553,152046,2732,18138011,1691107,10725523 ,Europe
South Africa,1581210,+1674,54350 ,+19,1505620,21240,546,26385,907,10654870,177791,59929069 ,Africa
Netherlands,1496352,+7758,17148 ,+22,1255490,223714,811,87167,999,12274847,715049,17166437 ,Europe
Canada,1219425,+8342,24219 ,+50,1111887,83319,1422,32076,637,31479292,828030,38017069 ,North America
Chile,1198245,+7254,26353 ,+106,1129347,42545,3345,62238,1369,13051622,677917,19252532 ,South America
Iraq,1065199,+6405,15465 ,+32,942046,107688,562,26000,377,9338101,227933,40968539 ,Asia
Romania,1055265,+1636,28109 ,+138,989393,37763,1284,55161,1469,8257487,431638,19130567 ,Europe
Philippines,1037427,+8715,17234 ,+89,946242,73951,750,9364,156,11805080,106553,110790799 ,Asia
Belgium,986622,+3663,24185 ,+45,848796,113641,886,84823,2079,12475193,1072527,11631588 ,Europe
Sweden,973604,,14048 ,+33,799710,159846,392,95906,1384,8482276,835558,10151626 ,Europe
Israel,838481,+74,6363 ,+1,830625,1493,110,91163,692,14200104,1543894,9197590 ,Asia
Portugal,836493,+460,16974 ,,795838,23681,89,82236,1669,10515374,1033765,10171918 ,Europe
