Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32476153,+51653,581573 ,+498,25043463,6851117,9815,97655,1749,430886619,1295672,332558517 ,North America
India,15314714,+256947,180550 ,+1757,13103220,2030944,8944,11011,130,267894549,192610,1390864355 ,Asia
Brazil,13977713,+34642,375049 ,+1607,12460712,1141952,8318,65387,1754,28600000,133789,213770046 ,South America
France,5296822,+7296,101222 ,+489,4151289,1044311,5970,81004,1548,72613536,1110478,65389433 ,Europe
Russia,4710690,+8589,105928 ,+346,4333598,271164,2300,32268,726,126000000,863104,145984714 ,Europe
UK,4390783,+2963,127274 ,+4,4156135,107374,332,64407,1867,143958619,2111700,68171922 ,Europe
Turkey,4323596,+55149,36267 ,+341,3736537,550792,3319,50827,426,44087628,518280,85065229 ,Asia
Italy,3878989,+8859,117243 ,+316,3268262,493484,3244,64232,1941,55241172,914735,60390385 ,Europe
Spain,3428354,+6898,77102 ,+40,3144353,206899,2276,73303,1649,44374223,948789,46769321 ,Europe
Germany,3164447,+13417,80774 ,+183,2787200,296473,4932,37672,962,52737238,627833,83998886 ,Europe
Argentina,2714475,+20461,59476 ,+248,2386383,268616,4304,59622,1306,10221233,224505,45527815 ,South America
Poland,2695325,+7281,62133 ,+101,2334978,298214,3346,71280,1643,13503602,357112,37813307 ,Europe
Colombia,2667136,+14189,68748 ,+420,2488246,110142,4299,51974,1340,13907796,271018,51316864 ,South America
Mexico,2305602,+1506,212339 ,+111,1829480,263783,4798,17733,1633,6407248,49280,130016760 ,North America
Iran,2261435,+24346,67130 ,+398,1797319,396986,4843,26651,791,14500500,170891,84852500 ,Asia
Ukraine,1953016,+6506,40000 ,+214,1487677,425339,177,44874,919,8958482,205836,43522336 ,Europe
Peru,1707787,+3030,57537 ,+307,1636286,13964,2574,51225,1726,10461475,313792,33338918 ,South America
Indonesia,1609300,+4952,43567 ,+143,1461414,104319,,5834,158,13891160,50360,275838089 ,Asia
Czechia,1602744,+832,28616 ,+71,1517380,56748,879,149441,2668,15718197,1465576,10724928 ,Europe
South Africa,1567513,+744,53757 ,+21,1490876,22880,546,26166,897,10355196,172856,59906596 ,Africa
Netherlands,1410950,+7117,16938 ,+22,1177664,216348,801,82198,987,11781337,686346,17165301 ,Europe
Canada,1131773,+10275,23667 ,+44,1019779,88327,1167,29778,623,30041115,790407,38007134 ,North America
Chile,1131340,+6622,25277 ,+100,1060826,45237,3364,58778,1313,12426663,645621,19247606 ,South America
Romania,1031072,+1768,26381 ,+149,944774,59917,1448,53886,1379,7914543,413629,19134403 ,Europe
Iraq,984950,+7775,15026 ,+45,864039,105885,493,24058,367,8847336,216098,40941346 ,Asia
Belgium,949996,+2996,23747 ,+29,804223,122026,924,81684,2042,11985089,1030526,11630075 ,Europe
Philippines,945727,+9610,16048 ,+88,788295,141384,750,8540,145,11197550,101109,110746960 ,Asia
Sweden,916830,+2715,13789 ,,740174,162867,391,90330,1359,8151774,803151,10149737 ,Europe
Israel,837218,+171,6341 ,+6,828686,2191,187,91026,689,13977443,1519685,9197590 ,Asia
Portugal,831221,+220,16946 ,+1,789216,25059,112,81710,1666,9784610,961840,10172808 ,Europe
Pakistan,761437,+5152,16316 ,+73,662845,82276,4515,3395,73,11204529,49951,224312593 ,Asia
Hungary,753188,+2680,25381 ,+197,458212,269595,1052,78126,2633,5144130,533588,9640633 ,Europe
Bangladesh,723221,+4271,10497 ,+112,621300,91424,,4357,63,5194219,31290,166002634 ,Asia
Jordan,689482,+3509,8308 ,+62,644486,36688,729,67043,808,6502520,632282,10284207 ,Asia
Serbia,664972,+2604,6026 ,+35,594605,64341,217,76354,692,3695993,424384,8709068 ,Europe
Switzerland,637304,+4905,10521 ,+13,570159,56624,232,73208,1209,6538153,751052,8705330 ,Europe
Austria,595540,+2117,9922 ,+24,557467,28151,570,65823,1097,29014550,3206881,9047592 ,Europe
Japan,534409,+4580,9641 ,+19,483052,41716,738,4236,76,10918947,86545,126165185 ,Asia
Lebanon,511398,+995,6959 ,+34,429598,74841,785,75196,1023,3834228,563786,6800861 ,Asia
Morocco,505949,+138,8952 ,+7,492100,4897,249,13579,240,6167072,165512,37260477 ,Africa
UAE,498957,+1803,1556 ,+2,481326,16075,,49966,156,41909042,4196792,9985970 ,Asia
Saudi Arabia,405940,+970,6834 ,+11,389598,9508,1087,11517,194,16231540,460510,35246885 ,Asia
Bulgaria,388815,+2434,15412 ,+217,310922,62481,780,56298,2232,2378019,344324,6906335 ,Europe
Malaysia,377132,+2078,1386 ,+8,355224,20522,228,11534,42,8665139,265009,32697551 ,Asia
Slovakia,376067,+93,11172 ,+66,255300,109595,430,68854,2045,2505182,458676,5461766 ,Europe
Panama,361044,+203,6189 ,+1,350835,4020,105,82637,1417,2303585,527256,4369010 ,North America
Ecuador,360563,+17,17703  ,,309541,33319,635,20192,991,1228745,68810,17857054 ,South America
Belarus,345110,+887,2433 ,+10,335485,7192,,36532,258,5676595,600900,9446826 ,Europe
Greece,316879,+1606,9540 ,+78,275553,31786,847,30522,919,7489656,721401,10382100 ,Europe
Croatia,308200,+410,6601 ,+39,287787,13812,199,75449,1616,1703343,416986,4084894 ,Europe
Azerbaijan,301661,+995,4169 ,+29,265539,31953,,29539,408,3114879,305011,10212350 ,Asia
Georgia,295936,+578,3949 ,+10,281574,10413,,74300,991,3885539,975528,3983013 ,Asia
Kazakhstan,289720,+2719,3406 ,+22,248096,38218,221,15284,180,9624583,507724,18956336 ,Asia
Bolivia,289066,+521,12648 ,+14,238195,38223,71,24497,1072,1047561,88774,11800288 ,South America
Tunisia,287061,+1571,9825 ,+42,236593,40643,482,24087,824,1233451,103498,11917582 ,Africa
Nepal,285900,+1227,3091 ,+8,275555,7254,,9674,105,2352502,79598,29554944 ,Asia
Palestine,282270,+1529,3047 ,+30,249382,29841,167,54326,586,1684585,324219,5195830 ,Asia
Dominican Republic,261531,+402,3422 ,+4,218988,39121,159,23917,313,1373143,125573,10934977 ,North America
Kuwait,258497,+1510,1456 ,+8,241696,15345,254,59823,337,2228166,515656,4321028 ,Asia
Paraguay,252443,+2278,5384 ,+71,207803,39256,510,35049,748,1026625,142535,7202601 ,South America
Moldova,246238,+341,5591 ,+20,232328,8319,260,61155,1389,938584,233106,4026427 ,Europe
Ireland,243911,+403,4836 ,,224995,14080,50,48959,971,4298712,862864,4981913 ,Europe
