Country,Total Cases,New Cases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
USA,32789653,+53280,585880 ,+742,25339874,6863899,9944,98592,1762,438591428,1318756,332579690 ,North America
India,16951769,+349313,192310 ,+2761,14078081,2681378,8944,12187,138,276199222,198560,1391012516 ,Asia
Brazil,14308215,+70105,389609 ,+2986,12766772,1151834,8318,66928,1822,43538104,203652,213786534 ,South America
France,5473579,+32633,102713 ,+217,4321591,1049275,5958,83705,1571,74165951,1134192,65391007 ,Europe
Russia,4753789,+8828,107900 ,+399,4380468,265421,2300,32563,739,127500000,873375,145985396 ,Europe
Turkey,4591416,+40596,38011 ,+339,4022408,530997,3511,53969,447,45623978,536279,85075142 ,Asia
UK,4403170,+2061,127417 ,+32,4189154,86599,243,64586,1869,148737754,2181679,68175812 ,Europe
Italy,3949516,+13816,119021 ,+322,3369048,461447,2894,65401,1971,56886535,941995,60389418 ,Europe
Spain,3468617,,77591 ,,3163849,227177,2297,74164,1659,44374223,948785,46769519 ,Europe
Germany,3286187,+24423,82194 ,+258,2882300,321693,5049,39120,978,54061332,643573,84001806 ,Europe
Argentina,2845872,+21220,61474 ,+298,2496277,288121,4858,62502,1350,10689927,234777,45532343 ,South America
Colombia,2757274,+16730,70886 ,+440,2573657,112731,5306,53724,1381,14317363,278967,51322788 ,South America
Poland,2751637,+9510,65222 ,+513,2422659,263756,3195,72770,1725,13901801,367647,37812856 ,Europe
Iran,2377039,+18230,69120 ,+374,1863405,444514,5156,28010,814,15078540,177678,84864249 ,Asia
Mexico,2323430,+3911,214504 ,+409,1845008,263918,4798,17868,1650,6509956,50064,130031556 ,North America
Ukraine,2017341,+12711,42092 ,+392,1565954,409295,177,46355,967,9214479,211732,43519479 ,Europe
Peru,1754150,+8495,59440 ,+428,1679099,15611,2646,52608,1783,10798298,323846,33343939 ,South America
Indonesia,1636792,+4544,44500 ,+154,1492322,99970,,5933,161,14242895,51629,275869680 ,Asia
Czechia,1618081,+2595,28939 ,+39,1524065,65077,765,150868,2698,16937639,1579246,10725145 ,Europe
South Africa,1574370,+1385,54125 ,+59,1500360,19885,546,26277,903,10508510,175391,59914768 ,Africa
Netherlands,1453124,+8060,17038 ,+22,1211631,224455,827,84653,993,11781337,686330,17165714 ,Europe
Canada,1172004,+7417,23927 ,+44,1061706,86371,1312,30833,629,30705297,807806,38010747 ,North America
Chile,1162811,+6909,25742 ,+101,1092934,44135,3374,60408,1337,12709327,660245,19249397 ,South America
Romania,1044722,+2201,27267 ,+154,968746,48709,1377,54603,1425,8093181,422996,19133008 ,Europe
Iraq,1025288,+6967,15217 ,+43,897966,112105,509,25037,372,9076934,221652,40951234 ,Asia
Philippines,989361,+9642,16674 ,+145,883156,89531,750,8932,151,11460993,103473,110762901 ,Asia
Belgium,968107,+3581,23954 ,+45,818866,125287,910,83238,2060,12202244,1049148,11630625 ,Europe
Sweden,938343,,13923 ,,759670,164750,403,92444,1372,8151774,803097,10150424 ,Europe
Israel,837974,+82,6350 ,+4,829811,1813,152,91108,690,14049710,1527543,9197590 ,Asia
Portugal,833964,+567,16959 ,+2,792377,24628,98,81982,1667,10226293,1005290,10172484 ,Europe
Pakistan,790016,+5908,16999 ,+157,686488,86529,4682,3521,76,11483643,51184,224359546 ,Asia
Hungary,767190,+2796,26420 ,+212,478323,262447,813,79581,2741,5257377,545350,9640367 ,Europe
Bangladesh,742400,+2697,10952 ,+83,653151,78297,,4472,66,5323579,32066,166020552 ,Asia
Jordan,700423,+1259,8563 ,+49,664772,27088,729,68099,833,6593672,641076,10285314 ,Asia
Serbia,677972,+2068,6196 ,+32,615211,56565,209,77850,711,3766407,432489,8708685 ,Europe
Switzerland,646509,,10594 ,+28,577630,58285,238,74260,1217,6723694,772304,8706020 ,Europe
Austria,606954,+2131,10070 ,+15,570684,26200,507,67080,1113,30489054,3369644,9048153 ,Europe
Japan,556702,+4801,9854 ,+54,498242,48606,837,4413,78,11365991,90091,126160972 ,Asia
Lebanon,519615,+1511,7118 ,+28,445163,67334,671,76408,1047,3903562,574009,6800529 ,Asia
Morocco,509037,+507,8988 ,+5,494872,5177,222,13660,241,6214771,166771,37265257 ,Africa
UAE,508925,+2080,1569 ,+2,490457,16899,,50957,157,42911245,4296591,9987276 ,Asia
Saudi Arabia,411263,+1072,6887 ,+9,394529,9847,1205,11666,195,16536092,469072,35252814 ,Asia
Bulgaria,397100,+798,15859 ,+33,324386,56855,738,57503,2296,2441727,353578,6905767 ,Europe
Malaysia,390252,+2717,1426 ,+11,365900,22926,272,11934,44,9001532,275259,32702083 ,Asia
Slovakia,379476,+841,11458  ,+53,255300,112718,357,69478,2098,2548241,466558,5461794 ,Europe
Ecuador,372754,+1448,18158 ,+96,309541,45055,638,20871,1017,1259292,70509,17859984 ,South America
Panama,362696,+338,6207 ,+7,352523,3966,105,83001,1420,2348261,537390,4369753 ,North America
Belarus,351674,+1453,2483 ,+10,342102,7089,,37227,263,5759533,609681,9446792 ,Europe
Greece,331730,+2596,9950 ,+86,287222,34558,797,31954,958,7824968,753738,10381546 ,Europe
Croatia,321372,+2535,6815 ,+31,298210,16347,224,78679,1668,1752201,428975,4084619 ,Europe
Azerbaijan,311465,+1676,4342 ,+35,276934,30189,,30496,425,3178044,311166,10213348 ,Asia
Kazakhstan,303570,+2837,3535 ,+23,259863,40172,221,16012,186,9828632,518421,18958790 ,Asia
Georgia,302785,+1250,4007 ,+15,284749,14029,,76021,1006,4035424,1013180,3982930 ,Asia
Tunisia,298572,+2229,10231 ,+61,248013,40328,493,25050,858,1273377,106836,11918933 ,Africa
Nepal,297087,+2486,3136 ,+14,277123,16828,,10050,106,2395725,81044,29560679 ,Asia
Bolivia,295892,+1501,12783 ,+25,244079,39030,71,25071,1083,1102780,93440,11802028 ,South America
Palestine,290259,+1139,3151 ,+13,260650,26458,153,55850,606,1709831,328995,5197130 ,Asia
Kuwait,265404,+1206,1511  ,+9,248633,15260,219,61412,350,2272818,525906,4321719 ,Asia
Paraguay,265296,+2162,5802 ,+87,217685,41809,521,36828,805,1058946,147003,7203559 ,South America
Dominican Republic,263944,+474,3451 ,+3,221294,39199,182,24135,316,1387700,126891,10936165 ,North America
Ethiopia,250955,+1663,3531 ,+20,190013,57411,987,2140,30,2544095,21696,117260576 ,Africa
Moldova,248898,+380,5709 ,+18,236774,6415,230,61818,1418,966184,239967,4026325 ,Europe
Denmark,247010,+547,2474 ,+2,235065,9471,40,42524,426,34911314,6010086,5808788 ,Europe
Ireland,246204,+461,4872 ,+5,227891,13441,46,49414,978,4387769,880633,4982515 ,Europe
Lithuania,240568,+1258,3843 ,+8,217779,18946,192,89389,1428,2706867,1005807,2691240 ,Europe
Costa Rica,238760,+1830,3143 ,+7,199982,35635,303,46525,612,932115,181633,5131869 ,North America
Slovenia,236612,+830,4203 ,+8,221814,10595,160,113801,2021,1156509,556236,2079171 ,Europe
Egypt,221570,+912,12998 ,+39,166457,42115,90,2133,125,2677262,25769,103895001 ,Africa
Guatemala,221307,+1518,7395 ,+21,195802,18110,5,12171,407,1219088,67043,18183565 ,North America
Armenia,212878,+764,4001 ,+17,193360,15517,,71730,1348,960067,323500,2967749 ,Asia
Honduras,205696,+868,5095 ,+48,77531,123070,578,20504,508,602430,60050,10032126 ,North America
Qatar,201496,+718,418 ,+5,179974,21104,435,71763,149,1875805,668068,2807805 ,Asia
Bosnia and Herzegovina,194733,,8203 ,,153408,33122,,59658,2513,887506,271893,3264175 ,Europe
Venezuela,190523,+1142,2028 ,+19,173097,15398,293,6716,71,3359014,118399,28370293 ,South America
Oman,185278,,1942 ,,165051,18285,266,35553,373,1550000,297427,5211358 ,Asia
Uruguay,182326,+2789,2283 ,+56,151669,28374,519,52340,655,1720603,493927,3483519 ,South America
Libya,174752,,2947 ,,160113,11692,,25155,424,942970,135738,6946996 ,Africa
Bahrain,170335,+1081,620 ,+3,159198,10517,99,97385,354,3997605,2285538,1749087 ,Asia
Nigeria,164684,+51,2061 ,,154687,7936,11,783,10,1870915,8898,210260754 ,Africa
Kenya,156318,+1153,2603 ,+20,106093,47622,236,2856,48,1631699,29815,54727751 ,Africa
North Macedonia,150274,+564,4650 ,+22,128496,17128,124,72133,2232,703569,337718,2083304 ,Europe
Myanmar,142704,+17,3206 ,,131925,7573,,2609,59,2565007,46887,54706074 ,Asia
Albania,130409,+139,2372 ,+5,105016,23021,18,45356,825,619922,215607,2875238 ,Europe
Algeria,120736,+174,3198 ,+8,84167,33371,19,2714,72,230861,5189,44491487 ,Africa
Estonia,120000,+390,1137 ,+11,107298,11565,61,90412,857,1259354,948837,1327261 ,Europe
S. Korea,118243,+785,1812 ,+1,107781,8650,136,2305,35,8632923,168266,51305094 ,Asia
Latvia,114955,+711,2101 ,+7,104554,8300,74,61501,1124,2210403,1182561,1869166 ,Europe
Norway,110390,+329,736 ,,88952,20702,36,20234,135,5084200,931913,5455660 ,Europe
Sri Lanka,100586,+895,638 ,,94155,5793,,4681,30,2374627,110519,21486239 ,Asia
Cuba,100318,+1110,581 ,+12,93948,5789,66,8861,51,3495722,308782,11320987 ,North America
Montenegro,96499,+151,1463 ,+6,92377,2659,69,153629,2329,368139,586086,628131 ,Europe
Kyrgyzstan,93603,+325,1578 ,+5,87880,4145,25,14158,239,959162,145079,6611308 ,Asia
Ghana,91981,+53,777 ,,89729,1475,9,2911,25,1055797,33415,31596954 ,Africa
Zambia,91317,+66,1245 ,,89403,669,45,4858,66,1375608,73176,18798701 ,Africa
China,90575,+9,4636 ,,85634,305,4,63,3,160000000,111163,1439323776 ,Asia
Uzbekistan,88679,+399,642 ,+1,85536,2501,23,2619,19,1377915,40692,33862069 ,Asia
Finland,85607,+263,903 ,,46000,38704,31,15431,163,4380100,789531,5547723 ,Europe
Mozambique,69643,+46,807 ,+1,62452,6384,43,2179,25,511476,16003,31960832 ,Africa
El Salvador,68468,+150,2098 ,+5,64405,1965,33,10513,322,902426,138562,6512803 ,North America
Luxembourg,66007,,790 ,,62183,3034,30,104076,1246,2606391,4109594,634221 ,Europe
Cameroon,65998,,991 ,,57821,7186,385,2437,37,1257949,46455,27078842 ,Africa
Cyprus,61576,+895,298 ,+1,39061,22217,70,50701,245,4622694,3806262,1214497 ,Asia
Singapore,60966,+23,30 ,,60629,307,1,10355,5,9278789,1575962,5887699 ,Asia
Afghanistan,58847,+114,2582 ,+10,52392,3873,1124,1485,65,393452,9927,39636165 ,Asia
Thailand,53022,+2839,129 ,+8,30566,22327,1,758,2,8124896,116165,69942444 ,Asia
Namibia,47671,+288,624 ,+2,45334,1713,36,18491,242,380088,147428,2578122 ,Africa
Botswana,45855,,691 ,,41338,3826,1,19186,289,982095,410919,2389998 ,Africa
Ivory Coast,45820,+55,281 ,+2,45343,196,,1703,10,573182,21304,26905163 ,Africa
Jamaica,44867,+225,756 ,+4,20391,23720,26,15098,254,323381,108821,2971674 ,North America
Uganda,41575,,341 ,,40898,336,24,886,7,1001301,21348,46902951 ,Africa
Senegal,40082,+60,1099 ,+2,38815,168,9,2344,64,472132,27611,17099611 ,Africa
Zimbabwe,38064,+19,1556 ,,35101,1407,12,2531,103,404405,26892,15038159 ,Africa
Madagascar,35262,+487,593 ,+5,28132,6537,406,1248,21,175418,6206,28265015 ,Africa
Malawi,34011,+14,1147 ,+1,31899,965,15,1742,59,230117,11784,19528511 ,Africa
Sudan,32695,,2300 ,,26411,3984,,732,51,232965,5215,44675565 ,Africa
Malta,30149,+20,412 ,,29261,476,,68133,931,856718,1936090,442499 ,Europe
Australia,29656,+30,910 ,,26470,2276,,1152,35,16554933,643165,25739779 ,Australia/Oceania
DRC,29498,+93,756 ,+4,26156,2586,,321,8,146905,1601,91752635 ,Africa
Mongolia,29219,+1263,74 ,+5,14745,14400,64,8798,22,2629906,791897,3321022 ,Asia
Maldives,27621,+218,71 ,,24234,3316,90,50381,130,705374,1286604,548245 ,Asia
Angola,25492,+213,577 ,+3,23092,1823,24,757,17,449666,13348,33688788 ,Africa
Rwanda,24535,+76,328 ,,22866,1341,6,1857,25,1284779,97249,13211198 ,Africa
Gabon,22433,,138 ,,19074,3221,22,9891,61,710576,313289,2268117 ,Africa
Cabo Verde,22094,+310,201 ,,19109,2784,23,39391,358,143700,256202,560885 ,Africa
Syria,21999,+135,1526 ,+16,15731,4742,,1233,86,103566,5804,17843646 ,Asia
Guinea,21885,+82,140 ,+1,19194,2551,24,1631,10,425451,31703,13419855 ,Africa
Mayotte,19849,,169 ,,2964,16716,7,71367,608,165683,595712,278126 ,Africa
